PA,PitchofPA,Pitcher,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,RunsScored,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ExitSpeed,RelSpeed,PreviousPitch,called_strike,ooz,Angle,Direction,Distance,PitchCall,TaggedHitType,k,bb,bbspin,pitches,zone,izswing,izmiss,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,BatterSide,PitcherThrows,PositionAt110X,PositionAt110Y,PositionAt110Z,is_single,is_double,is_triple,is_home_run,CountType,pitch_category
,6,"Berg, Jack",2.0,3.0,Undefined,Sinker,Undefined,0.0,-0.515454,5.072853,1863.430403,300.436651,10:00,5.63033,-3.00438,5.37573,-22.9284,9.79898,-15.0108,3.23448,0.51301,,93.23176,Slider,0,0,,,,FoulBallNotFieldable,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Full Count,2
,7,"Berg, Jack",2.0,3.0,Walk,Slider,Undefined,0.0,-1.672566,3.838773,2343.217627,145.444053,4:45,5.37782,-3.00002,5.06326,-43.67073,-1.02669,1.60945,0.15744,0.75932,,82.35498,Sinker,0,1,,,,BallCalled,Undefined,,1.0,,1,,,,,1.0,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Full Count,3
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-1.321564,4.723693,1582.058048,262.695809,8:45,5.34841,-2.97546,5.15769,-43.68341,-0.47909,-13.85654,0.45967,0.32639,,81.52673,,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",1.0,0.0,Undefined,Slider,Undefined,0.0,-1.328679,3.814343,2238.391373,145.069008,4:45,5.1919,-2.94533,4.95212,-45.63876,-0.71083,1.52354,0.1302,0.79112,,80.63984,ChangeUp,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,3
,3,"Berg, Jack",1.0,1.0,Undefined,ChangeUp,Undefined,0.0,-0.699016,1.712233,1550.81086,256.875318,8:30,5.54278,-2.95935,4.84468,-43.59368,-1.89945,-13.66973,1.24784,-2.47691,,83.4261,Slider,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,0
,4,"Berg, Jack",1.0,2.0,Undefined,Sinker,Out,0.0,-1.246481,4.318293,2111.649081,294.900434,9:45,5.66073,-3.21072,4.60067,-23.93332,9.4491,-18.00477,2.47728,-0.59649,94.65178,93.97315,ChangeUp,0,0,-13.079843,15.838012,12.24613,InPlay,GroundBall,,,,1,1.0,1.0,,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Fastball,Undefined,0.0,-2.996332,5.272716,2110.8896,330.123405,11:00,5.6255,-2.87194,4.91533,-19.45899,13.96123,-7.43374,1.15613,1.50826,,93.27737,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,0-0 Count,1
,2,"Berg, Jack",0.0,1.0,Undefined,Fastball,Undefined,0.0,-1.075089,3.313912,2161.209234,327.848503,11:00,5.54966,-3.00174,4.67485,-22.73033,11.40835,-6.57701,2.63259,-0.39896,,92.04324,Fastball,0,0,,,,FoulBallNotFieldable,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,Neutral Count,1
,3,"Berg, Jack",1.0,1.0,Undefined,Slider,Undefined,0.0,2.222474,3.3011,2527.200604,116.553849,4:00,5.36852,-3.1331,4.54967,-45.65971,-1.68173,5.42902,3.68374,0.46518,,80.92389,Fastball,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,Neutral Count,3
,4,"Berg, Jack",1.0,2.0,Undefined,Sinker,Undefined,0.0,-1.923283,4.699516,1985.993309,289.756473,9:45,5.55324,-3.1088,4.72657,-27.84612,5.80221,-13.44013,1.40101,0.24028,,92.93819,Slider,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,Hitter's Count,2
,5,"Berg, Jack",2.0,2.0,Strikeout,Sinker,Undefined,0.0,-2.158476,4.475671,2010.035194,288.992509,9:45,5.56217,-3.08213,4.7417,-28.00761,5.76174,-13.98048,1.17351,0.00698,,92.60497,Sinker,0,1,,,,StrikeSwinging,Undefined,1.0,,,1,,,,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,1.0,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,Pitcher's Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-1.863657,2.720954,1462.095074,254.562837,8:30,5.44505,-2.90458,4.6132,-45.42747,-1.16394,-8.75575,-0.11519,-1.04516,,81.06041,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",0.0,1.0,Undefined,Fastball,Undefined,0.0,-1.5784,4.936327,2176.129518,321.311932,10:45,5.70083,-2.84696,4.66844,-18.18926,14.71485,-11.0267,2.67985,0.93455,,94.03313,ChangeUp,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,1
,3,"Berg, Jack",0.0,2.0,Undefined,Sinker,Undefined,0.0,-0.198005,3.053008,2077.309311,288.613446,9:30,5.60319,-3.08336,4.52053,-27.28478,6.18394,-15.41454,3.14061,-1.45738,,93.4759,Fastball,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,2
,4,"Berg, Jack",0.0,3.0,Undefined,Sinker,Out,0.0,-2.444763,4.482696,2083.366119,310.505358,10:15,5.65524,-3.00872,4.50797,-23.78241,10.06536,-10.70249,1.33581,0.37858,94.1211,92.77564,Sinker,0,1,15.086581,-0.18962,294.8359,InPlay,LineDrive,,,2405.592735,1,,,,0.0,0.0,0.0,1.0,,140.0,0,0,0,1.0,1.0,20240927-UArizona-Private-1,Right,Left,109.97427,23.71896,2.37087,False,False,False,False,Hitter's Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Slider,Undefined,0.0,-0.919193,3.183663,2440.139938,117.0235,4:00,5.31669,-2.9719,4.39161,-47.11168,-1.68378,5.54567,0.51175,0.53274,,80.02635,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Left,Left,,,,False,False,False,False,0-0 Count,3
,2,"Berg, Jack",0.0,1.0,Undefined,Slider,Out,0.0,-0.136738,3.77346,2436.742715,109.51674,3:45,5.37929,-3.08027,4.72845,-43.2675,-0.14374,3.53103,1.64365,0.79943,70.97954,81.71024,Slider,0,0,38.736102,-14.698152,241.60983,InPlay,FlyBall,,,4545.459483,1,1.0,1.0,,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20240927-UArizona-Private-1,Left,Left,104.22184,64.72166,-35.18228,False,False,False,False,Neutral Count,3
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-1.270171,3.69588,1627.770066,267.8652,9:00,5.44126,-2.87526,4.66628,-42.75589,0.77291,-12.91261,0.66904,-0.43576,,81.72107,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",0.0,1.0,Undefined,Sinker,Out,0.0,-1.326248,4.450447,2093.787176,300.970741,10:00,5.62925,-3.09201,4.5814,-25.29179,8.27536,-12.18776,2.25581,0.13489,99.82158,93.19767,ChangeUp,0,0,20.827847,14.209797,352.42505,InPlay,LineDrive,,,3447.439396,1,1.0,1.0,,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20240927-UArizona-Private-1,Right,Left,105.38276,37.8829,31.53469,False,False,False,False,Neutral Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Slider,Undefined,0.0,-1.20913,3.291331,2488.873743,92.143851,3:00,5.48925,-3.18776,4.46188,-44.02648,1.12087,6.16414,0.66545,0.4675,,80.78033,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,3
,2,"Berg, Jack",0.0,1.0,Undefined,Slider,Undefined,0.0,-0.156826,3.661023,2414.377388,120.211215,4:00,5.32292,-3.15015,4.63462,-47.91211,-3.16642,8.02843,1.18089,1.0032,,81.44093,Slider,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,3
,3,"Berg, Jack",0.0,2.0,Undefined,Sinker,Undefined,0.0,-3.514486,4.192454,2137.310846,304.160461,10:15,5.51687,-3.10866,4.32948,-24.3734,9.93705,-13.12961,0.11349,-0.18863,,92.86524,Slider,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,2
,4,"Berg, Jack",0.0,3.0,Undefined,Sinker,Undefined,0.0,-1.731071,4.196028,2139.752859,291.23258,9:45,5.54614,-3.05774,4.1924,-27.14742,7.52178,-16.68076,1.62025,-0.42014,,92.52826,Sinker,1,0,,,,StrikeCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,2
,5,"Berg, Jack",1.0,3.0,Undefined,Fastball,Undefined,0.0,-2.012997,3.587181,2063.531286,321.800996,10:45,5.52521,-3.17797,4.46088,-20.93092,12.83418,-9.34304,1.85707,-0.53181,81.12568,93.03962,Sinker,0,0,41.881704,72.124301,,FoulBallNotFieldable,Undefined,,,4773.479838,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,1
,6,"Berg, Jack",2.0,3.0,Walk,Sinker,Undefined,0.0,-1.597998,1.892165,2268.705698,295.936532,9:45,5.68753,-2.97928,4.5281,-26.68698,6.83477,-12.16461,1.94062,-2.19044,,93.03261,Fastball,0,1,,,,BallCalled,Undefined,,1.0,,1,,,,,1.0,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Full Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-2.015951,3.430934,1600.02784,280.421923,9:15,5.51387,-2.86046,4.43408,-41.87219,3.54524,-11.80902,0.09718,-0.56773,,80.52191,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",0.0,1.0,Undefined,Sinker,Undefined,0.0,-0.496677,3.78452,2172.537387,306.256171,10:15,5.60145,-3.18844,4.12712,-24.14403,11.24367,-13.85615,3.11194,-0.70735,85.0199,91.72762,ChangeUp,0,0,62.525732,62.879689,,FoulBallNotFieldable,Undefined,,,4682.134797,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,2
,3,"Berg, Jack",1.0,1.0,Undefined,Sinker,Undefined,0.0,-1.278555,3.754489,2224.779342,308.009267,10:15,5.67248,-3.21711,4.09254,-23.04529,13.00481,-15.12209,2.52191,-0.86819,,91.26109,Sinker,0,1,,,,FoulBallNotFieldable,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,2
,4,"Berg, Jack",2.0,1.0,Undefined,ChangeUp,Out,0.0,-0.650805,5.364924,1579.72495,270.711656,9:00,5.47955,-3.05019,4.76487,-39.95628,1.38169,-12.57198,1.53005,1.0039,96.35828,83.94841,Sinker,0,1,19.351535,-23.866333,334.06063,InPlay,LineDrive,,,2075.832629,1,,,,0.0,0.0,0.0,1.0,,140.0,0,0,0,1.0,1.0,20240927-UArizona-Private-1,Right,Left,99.18001,31.715,-47.574,False,False,False,False,Pitcher's Count,0
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Sinker,Undefined,0.0,-1.837484,3.802148,2029.239116,297.093686,10:00,5.51306,-2.92403,4.07517,-25.5882,9.79619,-16.83418,1.61186,-0.67067,,92.24958,,1,0,,,,StrikeCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,2
,2,"Berg, Jack",1.0,0.0,Undefined,ChangeUp,Undefined,0.0,-0.964441,5.319645,1652.137109,267.673376,9:00,5.44157,-2.87025,4.75177,-42.21467,0.68602,-13.47969,1.00496,1.0661,,82.30431,Sinker,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,0
,3,"Berg, Jack",1.0,2.0,Undefined,Slider,Undefined,0.0,0.637003,2.133939,2617.154325,138.333828,4:30,5.37483,-3.07072,4.29531,-50.90991,-3.97189,4.61233,1.74198,-0.6446,,78.85612,ChangeUp,1,0,,,,StrikeCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,3
,4,"Berg, Jack",2.0,1.0,Strikeout,Fastball,Undefined,0.0,-0.756231,3.408124,2118.797654,331.100806,11:00,5.65569,-2.92698,4.26315,-18.69123,15.61178,-8.01308,3.37311,-0.32957,,93.13565,Slider,0,0,,,,StrikeSwinging,Undefined,1.0,,,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,,0.0,20240927-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,1
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Sinker,Undefined,0.0,,,,,,,,,,,,,,,,,1,1,,,,StrikeCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,2
,2,"Berg, Jack",1.0,0.0,Undefined,ChangeUp,Undefined,0.0,,,,,,,,,,,,,,,,Sinker,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,0
,3,"Berg, Jack",1.0,1.0,Undefined,ChangeUp,Undefined,0.0,,,,,,,,,,,,,,,,ChangeUp,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,0
,4,"Berg, Jack",1.0,2.0,Undefined,Sinker,Undefined,0.0,,,,,,,,,,,,,,,,ChangeUp,0,1,,,,FoulBallNotFieldable,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Hitter's Count,2
,5,"Berg, Jack",2.0,2.0,Undefined,Sinker,Undefined,0.0,0.667998,2.886451,2167.720186,298.733283,10:00,5.86522,-3.41786,4.97114,-22.94722,10.22308,-16.79265,4.58475,-2.08851,,93.2736,Sinker,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,2
,6,"Berg, Jack",2.0,3.0,Strikeout,Sinker,Undefined,0.0,-1.357668,4.762791,2211.035984,299.891417,10:00,5.76607,-3.2758,5.08438,-23.27671,9.37544,-14.71922,2.54195,-0.0027,,93.53521,Sinker,0,0,,,,StrikeSwinging,Undefined,1.0,,,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Full Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Slider,Undefined,0.0,-0.810197,3.894768,2490.017093,108.577287,3:30,5.50582,-3.36422,4.9431,-47.04625,-1.15473,7.33457,0.8178,0.93343,,79.32058,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,3
,2,"Berg, Jack",0.0,1.0,Undefined,Sinker,Undefined,0.0,-1.576175,4.631733,2038.342591,306.413887,10:15,5.76813,-3.57452,5.10764,-22.92891,11.16524,-13.69812,2.36711,-0.34258,,91.93989,Slider,1,0,,,,StrikeCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,2
,3,"Berg, Jack",1.0,1.0,Undefined,Sinker,Undefined,0.0,-1.914586,5.3345,2135.597637,306.564587,10:15,5.8827,-3.38265,5.07938,-20.76954,12.55674,-15.49674,2.33855,0.36922,,93.21598,Sinker,1,0,,,,StrikeCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,2
,4,"Berg, Jack",2.0,1.0,Strikeout,ChangeUp,Undefined,0.0,-1.081271,4.925887,1759.291276,247.629519,8:15,5.69022,-3.32037,5.17563,-46.8294,-4.08122,-12.75036,0.76641,0.26378,,81.62286,Sinker,0,1,,,,StrikeSwinging,Undefined,1.0,,,1,,,,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,1.0,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,0
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Sinker,Undefined,0.0,-2.409008,3.807598,2176.197826,293.275188,9:45,5.80473,-3.33456,5.03418,-24.64521,8.54839,-17.59485,1.47179,-1.20318,,93.02248,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,2
,2,"Berg, Jack",0.0,1.0,Undefined,Sinker,Undefined,0.0,-1.611924,3.339733,2014.359555,302.128744,10:00,5.73823,-3.49553,5.09751,-24.60907,8.18792,-11.61694,2.16548,-1.31283,,93.10344,Sinker,0,1,,,,FoulBallNotFieldable,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,2
,3,"Berg, Jack",1.0,1.0,Undefined,Sinker,Undefined,0.0,-1.647938,3.687199,2003.761503,294.431304,9:45,5.59915,-3.40631,5.08407,-25.67895,7.76839,-14.95351,1.90226,-1.17211,,92.51203,Sinker,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,2
,4,"Berg, Jack",2.0,1.0,Strikeout,Sinker,Undefined,0.0,-0.957654,5.256354,2168.377844,305.173797,10:15,5.9605,-3.24892,4.91,-21.65537,11.83725,-15.33891,3.24639,0.45739,,93.08011,Sinker,1,0,,,,StrikeCalled,Undefined,1.0,,,1,1.0,,,0.0,0.0,0.0,,,140.0,0,0,0,,0.0,20241018-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,2
,0,"Berg, Jack",,,,,Single,,,,,,,,,,,,,,,,,,0,1,,,,,GroundBall,,,,1,,,,1.0,1.0,1.0,,,,0,0,0,,,,Right,Left,,,,True,False,False,False,Neutral Count,-1
,0,"Berg, Jack",,,,,Out,,,,,,,,,,,,,,,,,,0,1,,,,,GroundBall,,,,1,,,,0.0,0.0,0.0,,,,0,0,0,,,,Right,Left,,,,False,False,False,False,Neutral Count,-1
,0,"Berg, Jack",,,,,Single,,,,,,,,,,,,,,,,,,0,1,,,,,LineDrive,,,,1,,,,1.0,1.0,1.0,,,,0,0,0,,,,Right,Left,,,,True,False,False,False,Neutral Count,-1
,0,"Berg, Jack",,,,,Out,,,,,,,,,,,,,,,,,,0,1,,,,,GroundBall,,,,1,,,,0.0,0.0,0.0,,,,0,0,0,,,,Left,Left,,,,False,False,False,False,Neutral Count,-1
